id,age,genre,ville,situation_familiale,niveau_education,secteur_activite,anciennete_emploi_ans,revenu_mensuel_mad,nb_dependants,historique_credit,nb_credits_precedents,ratio_endettement,duree_credit_mois,montant_credit_mad,defaut_paiement
45,35,Homme,Agadir,Marie,Bac,Sans emploi,0,2000,0,Moyen,2,0.08,12,7000,1
46,42,Femme,Rabat,Veuf,Bac+2,Independant,2,11900,4,Mauvais,2,0.07,36,109000,1
47,56,Femme,Tanger,Celibataire,Bac,Sans emploi,0,2000,3,Mauvais,4,0.44999999999999996,60,5000,1
48,44,Homme,Rabat,Divorce,Bac+3,Prive,12,12700,4,Moyen,1,0.65,84,5000,1
49,43,Homme,Casablanca,Divorce,Bac+5,Prive,2,12200,4,Mauvais,2,0.17,120,300000,1
50,52,Homme,Marrakech,Veuf,Bac,Sans emploi,0,2000,0,Moyen,0,,36,6000,0
51,61,Femme,Fes,Celibataire,Bac+3,Independant,12,11100,1,Moyen,1,0.12,60,144000,0
52,60,Femme,Rabat,Celibataire,Bac,Public,29,12000,0,Moyen,6,0.41000000000000003,120,5000,0
53,28,Homme,Fes,Marie,Bac+5,Sans emploi,0,2400,5,Bon,3,0.53,84,5000,0
54,24,Femme,Tanger,Veuf,Bac+2,Independant,2,9300,3,Bon,4,0.3,12,13000,0
55,32,Femme,Meknes,Veuf,Bac+3,Public,12,10000,1,Mauvais,0,0.5,84,5000,0
56,63,Homme,Fes,Marie,Bac+5,Independant,27,18700,5,Moyen,0,0.58,48,5000,0
57,62,Homme,Tanger,Celibataire,Bac+2,Independant,16,12000,3,Bon,6,0.6,84,5000,1
58,59,Femme,Casablanca,Marie,Bac+5,Prive,34,22900,1,Mauvais,1,0.47,48,5000,0
59,52,Homme,Fes,Marie,Bac,Prive,25,9800,1,Bon,3,0.45,36,5000,0
60,64,Homme,Rabat,Celibataire,Bac+2,Public,28,17600,4,Moyen,4,0.61,24,5000,0
61,24,Homme,Agadir,Divorce,Bac+3,Independant,1,10100,2,Mauvais,4,0.38,120,21000,1
62,35,Femme,Fes,Veuf,Bac+2,Sans emploi,0,2000,5,Mauvais,2,0.31,60,9000,1
63,29,Femme,Fes,Marie,Bac+2,Independant,5,8300,3,Bon,1,0.23,60,79000,0
64,40,Femme,Rabat,Celibataire,Bac+2,Independant,8,11200,3,Mauvais,0,0.62,36,6000,1
65,38,Homme,Fes,Veuf,Bac+2,Public,10,11700,5,Moyen,6,0.43999999999999995,36,5000,0
66,24,Femme,Agadir,Veuf,Bac+5,Prive,4,12100,5,Mauvais,6,0.21,12,21000,0
67,35,Femme,Casablanca,Divorce,Bac,Prive,10,7700,4,Moyen,4,0.25,24,23000,1
68,29,Femme,Fes,Divorce,Bac,Prive,8,7500,2,Mauvais,5,0.41000000000000003,120,5000,0
69,45,Femme,Rabat,Celibataire,Bac+2,Sans emploi,0,2200,4,Bon,6,0.55,48,5000,1
70,30,Femme,Marrakech,Marie,Bac+2,Independant,1,7300,4,Moyen,0,0.3,120,100000,1
71,31,Homme,Marrakech,Divorce,Bac+3,Public,9,13600,3,Bon,2,0.57,36,5000,0
72,48,Femme,Meknes,Marie,Bac,Independant,9,6500,3,Moyen,3,0.34,24,9000,0
73,50,Homme,Rabat,Veuf,Bac+5,Independant,24,21200,3,Moyen,6,0.5599999999999999,36,5000,0
74,50,Femme,Marrakech,Celibataire,Bac+5,Sans emploi,,3100,0,Mauvais,6,0.41000000000000003,84,5000,1
75,51,Femme,Meknes,Veuf,Bac,Independant,11,7900,0,Mauvais,2,0.2,48,83000,1
76,32,Homme,Casablanca,Divorce,Bac+2,Public,3,9600,3,Bon,3,0.16,24,67000,0
77,35,Femme,Casablanca,Marie,Bac+3,Independant,13,12400,1,Bon,5,0.32999999999999996,120,89000,1
78,30,Homme,Meknes,Veuf,Bac,Independant,7,6800,4,Mauvais,4,0.6900000000000001,12,5000,1
79,39,Femme,Casablanca,Marie,Bac+5,Sans emploi,0,3000,3,Bon,3,0.58,48,5000,1
80,27,Homme,Rabat,Marie,Bac+5,Independant,6,15600,1,Bon,3,0.5,120,6000,0
81,32,Homme,Casablanca,Marie,Bac+5,Independant,,13500,4,Bon,6,0.67,24,5000,0
82,54,Homme,Rabat,Marie,Bac,Public,3,8500,5,Moyen,1,0.24,12,13000,0
83,36,Femme,Casablanca,Marie,Bac+3,Independant,13,13900,2,Moyen,5,0.59,60,5000,0
84,55,Femme,Meknes,Marie,Bac,Public,19,8000,1,Mauvais,5,0.38,84,15000,0
85,39,Homme,Tanger,Veuf,Bac+3,Public,4,12700,0,Mauvais,2,0.55,12,5000,0
86,33,Femme,Meknes,Celibataire,Bac,Independant,9,8100,4,Bon,2,0.58,12,5000,0
87,35,Femme,Casablanca,Marie,Bac+3,Independant,13,12400,1,Bon,5,0.32999999999999996,120,89000,1
88,32,Femme,Agadir,Divorce,Bac+2,Prive,9,7500,0,Mauvais,2,0.14,120,238000,1
89,27,Homme,Casablanca,Divorce,Bac+5,Independant,2,14700,4,Moyen,4,0.29000000000000004,24,42000,1
90,50,Femme,Casablanca,Marie,Bac,Prive,27,12000,4,Moyen,4,0.38,24,7000,0
91,39,Homme,Meknes,Veuf,Bac+3,Sans emploi,0,2000,5,Moyen,0,0.25,120,32000,1
92,30,Femme,Meknes,Veuf,Bac+5,Prive,2,9900,3,Bon,4,0.63,48,6000,0
93,36,Femme,Fes,Divorce,Bac+2,Sans emploi,0,2000,2,Moyen,3,0.39,36,6000,1
94,27,Homme,Marrakech,Veuf,Bac+3,Independant,0,8300,4,Mauvais,0,0.07,48,129000,1
95,55,Homme,Casablanca,Veuf,Bac+5,Sans emploi,0,3000,5,Moyen,3,0.35,48,7000,1
96,22,Femme,Marrakech,Veuf,Bac,Sans emploi,0,2000,4,Moyen,2,0.49,24,5000,1
97,36,Femme,Rabat,Divorce,Bac+2,Independant,5,9300,2,Moyen,5,0.36,48,16000,0
98,37,Homme,Rabat,Celibataire,Bac,Independant,10,9100,5,Bon,5,0.64,84,6000,0
99,60,Femme,Marrakech,Divorce,Bac,Public,5,8600,1,Moyen,6,0.75,60,6000,0
100,46,Homme,Rabat,Veuf,Bac+3,Prive,12,11400,1,Moyen,2,0.19,36,88000,0
101,43,Homme,Meknes,Divorce,Bac+5,Sans emploi,0,2300,0,Bon,4,0.27,12,5000,1
102,23,Homme,Tanger,Marie,Bac+5,Public,1,13500,4,Moyen,6,0.52,48,5000,1
103,40,Femme,Casablanca,Divorce,Bac+5,Prive,16,16600,2,Mauvais,4,0.26,84,178000,1
104,31,Femme,Meknes,Divorce,Bac+5,Prive,7,10400,2,Bon,5,,48,45000,0
105,52,Femme,Rabat,Divorce,Bac+3,Independant,23,14800,5,Moyen,2,0.53,12,5000,0
106,63,Homme,Agadir,Veuf,Bac+3,Public,35,17200,5,Mauvais,1,0.06,48,215000,0
107,33,Femme,Marrakech,Veuf,Bac+2,Sans emploi,0,2300,4,Mauvais,2,0.44,60,5000,1
108,48,Femme,Fes,Celibataire,Bac+3,Prive,27,11700,3,Mauvais,4,0.67,60,5000,1
109,35,Homme,Marrakech,Celibataire,Bac+2,Public,8,8700,2,Mauvais,2,0.38,12,5000,1
110,29,Homme,Marrakech,Veuf,Bac+2,Independant,0,8700,1,Bon,4,0.61,84,5000,1
111,58,Homme,Tanger,Marie,Bac+5,Sans emploi,0,2700,3,Mauvais,4,0.63,60,5000,1
112,37,Homme,Marrakech,Celibataire,Bac+2,Prive,16,9500,3,Bon,1,0.21,120,221000,0
113,54,Homme,Marrakech,Celibataire,Bac+3,Independant,30,12800,1,Moyen,0,0.59,36,5000,1
114,56,Homme,Agadir,Veuf,Bac+3,Sans emploi,0,2000,0,Bon,5,0.32,12,5000,0
115,51,Homme,Fes,Divorce,Bac+3,Independant,1,10100,4,Moyen,4,0.49,36,5000,1
116,27,Femme,Meknes,Marie,Bac+5,Independant,5,11900,4,Moyen,5,0.62,48,5000,0
117,53,Homme,Casablanca,Celibataire,Bac,Public,27,11500,4,Mauvais,6,0.29000000000000004,48,65000,0
118,49,Homme,Rabat,Celibataire,Bac+5,Independant,23,17300,1,Mauvais,6,0.24,24,76000,1
119,58,Femme,Tanger,Celibataire,Bac,Prive,16,9700,5,Bon,6,0.22999999999999998,48,90000,0
120,65,Femme,Agadir,Marie,Bac+3,Prive,21,11500,2,Moyen,5,0.75,48,5000,1
121,40,Homme,Fes,Veuf,Bac,Sans emploi,0,2000,2,Mauvais,1,0.54,60,5000,1
122,54,Homme,Tanger,Marie,Bac+5,Public,20,17600,2,Bon,6,0.74,120,5000,0
123,34,Femme,Marrakech,Marie,Bac+3,Public,8,11500,1,Mauvais,2,0.57,60,5000,1
124,63,Femme,Meknes,Marie,Bac+3,Prive,28,11000,2,Mauvais,0,0.46,12,5000,1
125,42,Homme,Tanger,Divorce,Bac,Prive,3,7700,5,Mauvais,1,0.3,48,32000,0
126,29,Homme,Tanger,Divorce,Bac+5,Sans emploi,0,3100,5,Moyen,6,0.52,120,5000,0
127,29,Femme,Casablanca,Marie,Bac,Sans emploi,0,2000,2,Moyen,6,0.53,24,5000,1
128,26,Homme,Casablanca,Marie,Bac+5,Sans emploi,0,3900,1,Bon,4,0.26,48,32000,0
129,30,Homme,Casablanca,Veuf,Bac,Sans emploi,0,2000,3,Moyen,1,0.29,48,9000,1
130,52,Homme,Casablanca,Celibataire,Bac+3,Independant,25,18400,5,Mauvais,3,0.13,24,131000,1
131,48,Femme,Casablanca,Divorce,Bac,Public,24,13100,5,Moyen,5,0.47,60,5000,1
132,55,Femme,Agadir,Divorce,Bac,Public,29,9200,3,Mauvais,3,0.41,120,5000,1
133,24,Femme,Meknes,Divorce,Bac+2,Public,4,8900,1,Bon,1,0.08,12,34000,0
134,22,Homme,Agadir,Celibataire,Bac+3,Prive,1,8000,1,Mauvais,2,0.29,120,94000,0
135,54,Homme,Rabat,Celibataire,Bac+3,Sans emploi,0,2300,3,Mauvais,1,0.32,36,7000,1
136,55,Homme,Casablanca,Celibataire,Bac+5,Independant,2,16500,3,Moyen,2,0.1,60,333000,0
137,39,Homme,Agadir,Celibataire,Bac,Public,16,7800,4,Moyen,0,0.4,84,5000,0
138,59,Femme,Casablanca,Celibataire,Bac+2,Public,13,11600,3,Moyen,5,0.27,12,22000,0
139,53,Homme,Fes,Marie,Bac,Public,11,7100,5,Bon,6,0.62,60,5000,1
140,62,Femme,Agadir,Celibataire,Bac+3,Public,33,19200,2,Bon,3,0.39,120,19000,0
141,31,Femme,Fes,Divorce,Bac+5,Prive,9,13100,4,Bon,0,0.46,36,5000,0
142,34,Femme,Tanger,Marie,Bac,Public,2,8300,0,Bon,3,0.29,84,81000,0
143,24,Homme,Tanger,Marie,Bac,Sans emploi,0,2000,1,Moyen,5,0.35,120,10000,1
144,63,Femme,Casablanca,Divorce,Bac,Independant,0,8800,0,Moyen,3,0.14,48,125000,0
145,36,Homme,Meknes,Divorce,Bac,Public,11,8200,3,Bon,6,0.75,36,5000,0
146,36,Femme,Tanger,Marie,Bac+3,Public,3,12000,1,Moyen,1,0.12,36,114000,0
147,34,Femme,Rabat,Veuf,Bac+5,Public,5,17900,1,Mauvais,6,0.66,48,5000,1
148,50,Femme,Tanger,Marie,Bac,Public,2,7700,1,Bon,4,0.54,36,5000,0
149,30,Femme,Fes,Divorce,Bac,Sans emploi,0,2000,0,Moyen,0,0.58,120,5000,1
150,27,Femme,Tanger,Celibataire,Bac+3,Independant,3,10800,5,Moyen,0,0.34,84,63000,0
151,30,Homme,Casablanca,Veuf,Bac+3,Public,5,12600,3,Mauvais,4,0.31,84,105000,1
152,62,Femme,Marrakech,Divorce,Bac+3,Prive,19,12700,2,Bon,1,0.57,120,5000,0
153,33,Homme,Casablanca,Divorce,Bac,Sans emploi,0,2000,,Bon,6,0.43000000000000005,12,5000,1
154,34,Femme,Marrakech,Divorce,Bac+3,Public,6,13000,1,Moyen,0,0.42,84,5000,0
155,49,Femme,Rabat,Veuf,Bac+2,Independant,6,10900,5,Moyen,0,0.42,12,5000,1
156,39,Homme,Fes,Divorce,Bac,Prive,18,7400,1,Mauvais,0,0.52,24,5000,1
157,56,Femme,Tanger,Divorce,Bac+2,Public,4,8800,2,Bon,1,0.55,24,5000,0
158,22,Femme,Rabat,Celibataire,Bac+2,Independant,2,9300,0,Bon,6,0.45999999999999996,60,5000,1
159,38,Femme,Tanger,Celibataire,Bac+5,Independant,13,18500,4,Bon,2,0.31,48,83000,0
160,45,Homme,Fes,Divorce,Bac+3,Public,2,10300,2,Mauvais,6,0.26,36,50000,1
161,41,Femme,Meknes,Marie,Bac+2,Prive,19,10300,1,Mauvais,0,0.12,48,114000,1
162,55,Femme,Meknes,Veuf,Bac+5,Public,19,16900,0,Moyen,1,0.31,36,67000,0
163,48,Homme,Rabat,Veuf,Bac+5,Public,24,23800,1,Moyen,3,0.4,60,5000,0
164,38,Homme,Agadir,Divorce,Bac+3,Sans emploi,0,2500,2,Bon,4,0.25,24,10000,0
165,62,Femme,Fes,Divorce,Bac+2,Public,14,9300,1,Mauvais,2,0.15,84,234000,1
166,61,Femme,Casablanca,Veuf,Bac+5,Prive,11,12700,1,Bon,1,0.37,120,45000,0
167,65,Femme,Agadir,Veuf,Bac,Sans emploi,0,2000,4,Mauvais,3,0.06,120,95000,0
168,41,Homme,Rabat,Veuf,Bac,Public,6,9100,2,Bon,3,0.41,12,5000,0
169,55,Femme,Casablanca,Veuf,Bac,Public,5,9400,0,Moyen,6,0.41000000000000003,120,5000,0
170,32,Femme,Casablanca,Marie,Bac+2,Independant,9,12300,2,Mauvais,2,0.61,12,5000,1
171,50,Homme,Casablanca,Veuf,Bac+3,Independant,20,18300,0,Moyen,3,0.43,60,5000,0
172,32,Homme,Tanger,Marie,Bac,Sans emploi,0,2000,5,Mauvais,2,0.55,60,5000,1
173,53,Homme,Fes,Divorce,Bac,Sans emploi,0,2000,4,Moyen,1,0.52,48,5000,0
174,47,Femme,Tanger,Veuf,Bac+3,Sans emploi,0,2000,1,Moyen,4,0.58,48,5000,1
175,54,Femme,Rabat,Celibataire,Bac,Independant,24,12700,2,Bon,3,0.1,120,556000,0
176,46,Homme,Meknes,Veuf,Bac+2,Public,5,7600,2,Mauvais,2,0.38,36,5000,1
177,51,Homme,Tanger,Marie,Bac+2,Sans emploi,0,2000,5,Moyen,1,0.15,24,10000,1
178,51,Femme,Marrakech,Veuf,Bac+2,Independant,26,12800,4,Moyen,3,0.33,24,18000,0
179,51,Femme,Fes,Divorce,Bac+3,Independant,15,11200,0,Bon,2,0.55,48,5000,1
180,26,Homme,Agadir,Veuf,Bac+5,Independant,,13800,0,Moyen,3,0.46,84,5000,0
181,42,Homme,Marrakech,Veuf,Bac+2,Sans emploi,0,2000,3,Bon,5,0.66,36,5000,1
182,46,Homme,Agadir,Veuf,Bac+5,Prive,24,12900,4,,4,0.28,12,19000,0
183,47,Femme,Fes,Marie,Bac+3,Public,3,9500,5,Bon,4,0.43000000000000005,48,5000,1
184,28,Femme,Meknes,Veuf,Bac+2,Public,6,7800,5,Moyen,5,0.5,48,5000,0
185,29,Femme,Fes,Celibataire,Bac+2,Independant,2,8100,4,Mauvais,1,0.47,60,5000,1
186,35,Femme,Agadir,Veuf,Bac,Public,2,7800,5,Mauvais,6,0.5599999999999999,36,5000,1
187,50,Homme,Casablanca,Divorce,Bac+3,Sans emploi,0,2900,0,Bon,4,0.75,84,5000,1
188,45,Homme,Agadir,Marie,Bac,Public,13,8000,4,Bon,2,0.41,48,5000,0
189,45,Femme,Meknes,Celibataire,Bac+5,Sans emploi,0,2400,1,Moyen,2,0.33,24,5000,1
190,46,Femme,Fes,Veuf,Bac+5,Public,25,16400,3,Bon,6,0.21,48,114000,0
191,32,Homme,Rabat,Divorce,Bac+2,Prive,2,10400,0,,0,0.19,60,148000,0
192,61,Homme,Tanger,Marie,Bac+2,Prive,27,13300,5,Mauvais,2,0.35,48,27000,1
193,37,Femme,Casablanca,Marie,Bac+5,Prive,6,12200,0,Mauvais,6,0.75,84,5000,1
194,29,Femme,Agadir,Marie,Bac,Public,6,8200,0,Moyen,3,0.05,36,82000,1
195,44,Homme,Marrakech,Divorce,Bac+3,Public,20,17000,3,Bon,6,0.6900000000000001,48,5000,0
196,65,Homme,Casablanca,Celibataire,Bac+2,Prive,31,15200,3,Mauvais,4,0.74,48,5000,1
197,41,Femme,Agadir,Divorce,Bac+5,Sans emploi,0,2900,4,Mauvais,5,0.63,120,5000,1
198,30,Homme,Agadir,Marie,Bac+3,Prive,6,10100,4,Mauvais,6,0.5599999999999999,84,5000,1
199,33,Homme,Tanger,Marie,Bac+3,Public,10,13800,2,Moyen,3,0.43,12,5000,0
200,40,Femme,Marrakech,Celibataire,Bac+3,Public,11,14100,3,Mauvais,1,0.23,60,116000,1
201,64,Femme,Rabat,Marie,Bac+5,Independant,15,18900,4,Moyen,1,0.6,60,5000,0
202,50,Femme,Fes,Celibataire,Bac+5,Public,10,16300,0,Moyen,5,0.7100000000000001,36,5000,1
203,48,Femme,Rabat,Divorce,Bac+3,Sans emploi,0,2900,1,Moyen,6,0.39,12,6000,1
204,27,Homme,Fes,Celibataire,Bac+5,Independant,7,13500,5,Moyen,1,0.26,36,55000,0
205,33,Femme,Marrakech,Divorce,Bac+2,Prive,5,6700,5,Moyen,3,0.61,24,5000,1
206,56,Femme,Casablanca,Divorce,Bac+2,Sans emploi,0,2600,5,Bon,5,0.57,60,5000,1
207,36,Femme,Rabat,Veuf,Bac+2,Public,9,14200,3,Mauvais,5,0.65,12,6000,1
208,54,Femme,Casablanca,Divorce,Bac+5,Prive,7,16100,0,Mauvais,1,0.07,12,71000,1
209,49,Femme,Meknes,Marie,Bac,Prive,20,8300,3,Mauvais,1,0.13,36,93000,0
210,27,Homme,Meknes,Celibataire,Bac+3,Independant,2,9800,4,Mauvais,5,0.25,24,37000,1
211,60,Femme,Meknes,Divorce,Bac+3,Sans emploi,0,2000,0,Mauvais,0,0.6,60,5000,1
212,55,Homme,Tanger,Veuf,Bac+3,Public,24,18600,2,Mauvais,5,0.59,12,5000,1
213,24,Homme,Marrakech,Celibataire,Bac,Public,4,8500,3,Bon,1,0.62,48,5000,0
214,57,Femme,Meknes,Marie,Bac+3,Independant,11,9900,2,Moyen,0,0.53,48,5000,1
215,30,Femme,Casablanca,Celibataire,Bac,Prive,8,8700,3,Moyen,5,0.7000000000000001,84,5000,1
216,54,Homme,Casablanca,Divorce,Bac+3,Sans emploi,0,2500,3,Mauvais,0,0.16,12,6000,0
217,57,Femme,Meknes,Veuf,Bac,Prive,13,7100,0,Bon,6,0.74,48,5000,0
218,27,Femme,Meknes,Divorce,Bac+3,Prive,0,6800,2,Mauvais,4,0.67,24,5000,1
219,58,Femme,Rabat,Celibataire,Bac+5,Independant,8,15000,0,Bon,6,0.62,48,5000,0
220,60,Femme,Rabat,Veuf,Bac+5,Independant,21,16400,2,Mauvais,6,0.22999999999999998,60,147000,0
221,63,Femme,Fes,Marie,Bac+2,Sans emploi,0,2000,4,Mauvais,2,0.43,48,5000,1
222,45,Homme,Tanger,Marie,Bac+3,Independant,7,11800,4,Mauvais,0,0.57,48,5000,0
223,44,Homme,Marrakech,Divorce,Bac,Sans emploi,,2000,3,Mauvais,2,0.26,84,21000,1
224,31,Homme,Agadir,Celibataire,Bac+5,Prive,4,12200,0,Mauvais,6,0.39,120,12000,1
225,42,Femme,Meknes,Divorce,Bac+5,Sans emploi,0,2300,2,Bon,3,0.56,120,5000,1
226,53,Femme,Fes,Celibataire,Bac+5,Prive,15,12600,3,Moyen,1,0.15,24,90000,0
227,44,Homme,Meknes,Celibataire,Bac+5,Sans emploi,0,2300,5,Mauvais,0,0.09,60,53000,1
228,43,Homme,Marrakech,Celibataire,Bac,Public,7,8400,1,Mauvais,0,0.64,84,5000,1
229,37,Femme,Meknes,Marie,Bac,Sans emploi,0,2000,1,Bon,0,0.32,12,5000,1
230,58,Femme,Meknes,Veuf,Bac+5,Prive,2,8800,4,Bon,5,0.2,24,34000,0
231,56,Homme,Tanger,Marie,Bac+3,Public,31,15200,5,Moyen,3,0.62,12,5000,1
232,61,Homme,Marrakech,Divorce,Bac+2,Sans emploi,0,2200,1,Moyen,4,0.39,48,5000,1
233,56,Femme,Rabat,Celibataire,Bac,Prive,34,12800,4,Mauvais,3,0.13,36,122000,0
234,33,Femme,Casablanca,Celibataire,Bac,Public,0,9300,1,Mauvais,0,0.19,36,58000,0
235,52,Femme,Meknes,Veuf,Bac+2,Public,15,10500,4,Bon,2,0.29,120,120000,0
236,60,Homme,Meknes,Veuf,Bac+3,Independant,33,,2,Moyen,6,0.59,24,5000,1
237,29,Femme,Tanger,Veuf,Bac+5,Independant,3,12700,0,Bon,4,0.55,84,5000,0
238,28,Femme,Fes,Celibataire,Bac+2,Prive,8,7600,2,Mauvais,4,0.7100000000000001,24,5000,1
239,25,Homme,Casablanca,Divorce,Bac+2,Prive,1,10800,4,Bon,6,0.75,120,5000,0
240,45,Homme,Meknes,Veuf,Bac+5,Prive,22,12800,2,Bon,0,0.31,12,12000,0
241,28,Femme,Marrakech,Veuf,Bac+2,Sans emploi,0,2000,1,Mauvais,6,0.75,36,5000,1
242,61,Homme,Casablanca,Marie,Bac+5,Independant,5,18100,2,Moyen,5,0.55,36,5000,1
243,56,Homme,Agadir,Divorce,Bac+5,Prive,20,12500,5,Mauvais,1,0.29,120,199000,1
244,52,Homme,Rabat,Marie,Bac+5,Public,17,22600,0,Bon,0,0.62,36,5000,0
245,49,Homme,Meknes,Divorce,Bac+3,Public,6,10700,0,Mauvais,4,0.75,84,6000,1
246,42,Femme,Casablanca,Marie,Bac+2,Sans emploi,0,2100,2,Bon,2,0.08,48,30000,1
247,35,Femme,Rabat,Celibataire,Bac+5,Public,4,13500,5,Moyen,3,0.63,60,5000,1
248,53,Homme,Casablanca,Veuf,Bac+3,Sans emploi,0,2400,0,Moyen,2,0.14,84,51000,1
249,31,Femme,Tanger,Marie,Bac+3,Public,10,12300,3,Moyen,4,0.74,120,5000,1
250,25,Homme,Rabat,Veuf,Bac+2,Prive,0,8400,2,Mauvais,0,0.62,36,5000,1
251,62,Femme,Fes,Marie,Bac,Prive,28,9800,1,Moyen,0,0.34,84,58000,0
252,53,Femme,Meknes,Marie,Bac,Public,17,9900,5,Bon,6,0.44999999999999996,36,5000,0
253,62,Homme,Casablanca,Veuf,Bac+5,Sans emploi,0,2800,3,Mauvais,1,0.11,60,38000,1
254,33,Femme,Tanger,Celibataire,Bac+5,Prive,3,12400,3,Moyen,6,,60,91000,0
255,58,Femme,Rabat,Celibataire,Bac+3,Prive,34,15300,5,Moyen,2,0.3,84,97000,0
256,32,Femme,Rabat,Marie,Bac+2,Prive,1,9400,5,Mauvais,0,0.22,120,196000,1
257,30,Homme,Meknes,Celibataire,Bac,Prive,4,6800,1,Mauvais,5,0.24,60,72000,1
